{'black beans': 1000.0, 'brown rice': 999.0, 'kosher salt': 500.0, 'MSG': 300.0, 'date': 'Fri Jan 9 02:59:03 2019', 'flour': 6.0}
{'black beans': 900.0, 'brown rice': 999.0, 'kosher salt': 500.0, 'MSG': 300.0, 'date': 'Fri Jan 10 02:59:03 2019', 'flour': 6.0}
{'black beans': 800.0, 'brown rice': 999.0, 'kosher salt': 500.0, 'MSG': 300.0, 'date': 'Fri Jan 11 02:59:03 2019', 'flour': 6.0}
{'black beans': 700.0, 'brown rice': 999.0, 'kosher salt': 500.0, 'MSG': 300.0, 'date': 'Fri Jan 12 02:59:03 2019', 'flour': 6.0}
{'black beans': 600.0, 'brown rice': 999.0, 'kosher salt': 500.0, 'MSG': 300.0, 'date': 'Fri Jan 13 02:59:03 2019', 'flour': 6.0}
{'black beans': 500.0, 'brown rice': 999.0, 'kosher salt': 500.0, 'MSG': 300.0, 'date': 'Fri Jan 14 02:59:03 2019', 'flour': 6.0}
{'black beans': 400.0, 'brown rice': 999.0, 'kosher salt': 500.0, 'MSG': 300.0, 'date': 'Fri Jan 15 02:59:03 2019', 'flour': 6.0}
{'black beans': 300.0, 'brown rice': 999.0, 'kosher salt': 500.0, 'MSG': 300.0, 'date': 'Fri Jan 16 02:59:03 2019', 'flour': 6.0}
{'black beans': 200.0, 'brown rice': 999.0, 'kosher salt': 500.0, 'MSG': 300.0, 'date': 'Fri Jan 17 02:59:03 2019', 'flour': 6.0}
{'black beans': 100.0, 'brown rice': 999.0, 'kosher salt': 500.0, 'MSG': 300.0, 'date': 'Fri Jan 18 02:59:03 2019', 'flour': 6.0}
{'black beans': 1151.0, 'kosher salt': 500.0, 'date': 'Sat Jan 19 19:54:23 2019', 'MSG': 300.0, 'flour': 800.0, 'brown rice': 999.0}
{'black beans': 1151.0, 'kosher salt': 500.0, 'date': 'Sat Jan 19 19:54:23 2019', 'MSG': 300.0, 'flour': 800.0, 'brown rice': 85.0}
{'black beans': 1151.0, 'kosher salt': 500.0, 'date': 'Sat Jan 19 19:54:23 2019', 'MSG': 300.0, 'flour': 238.0, 'brown rice': 85.0}
{'kosher salt': 500.0, 'flour': 800.0, 'MSG': 300.0, 'date': 'Sat Jan 19 20:01:48 2019', 'black beans': 1162.0, 'brown rice': 999.0}
